STATEFIPS,cords
01,(33.137551/-86.775379)
02,(65.004867/-152.193753)
03,()
04,(34.348387/-111.833736)
05,(34.782186/-92.583924)
06,(37.401377/-120.627055)
07,()
08,(39.039397/-105.546206)
09,(41.579781/-72.753859)
10,(39.206719/-75.501989)
11,()
12,(28.044513/-82.088764)
13,(32.745643/-83.399114)
14,()
15,(21.402006/-157.985544)
16,(45.361780/-115.778686)
17,(40.004742/-89.203820)
18,(39.942277/-86.044607)
19,(41.619870/-93.676104)
20,(38.591923/-98.292709)
21,(37.294988/-85.246972)
22,(30.907863/-92.326043)
23,(44.563836/-69.328254)
24,(39.093876/-77.050665)
25,(42.239985/-72.062110)
26,(43.867556/-85.301229)
27,(45.888328/-94.348134)
28,(32.709656/-89.609404)
29,(38.307181/-92.826976)
30,(46.920765/-109.613047)
31,(41.392248/-99.664683)
32,(39.093999/-117.077422)
33,(43.408982/-71.592224)
34,(40.140370/-74.663015)
35,(36.798660/-101.828311)
36,(42.940831/-75.668092)
37,(35.621014/-79.533771)
38,(47.398373/-100.572539)
39,(40.446420/-82.936883)
40,(35.639441/-97.398814)
41,(43.758833/-120.734840)
42,(40.633991/-77.705508)
43,()
44,(41.502008/-71.655700)
45,(33.562249/-80.743864)
46,(44.514558/-100.629566)
47,(35.749287/-86.488612)
48,(31.326127/-99.127932)
49,(39.340766/-111.520738)
50,(43.912762/-72.779219)
51,(37.351632/-78.759772)
52,()
53,(47.361805/-120.423274)
54,(38.536523/-80.728241)
55,(44.056012/-89.659773)
56,(42.913492/-107.438530)
